region,year,extent
AlaskanArctic,1985,455401.9349466794
AlaskanArctic,1986,427585.32266872335
AlaskanArctic,1987,447861.2724162671
AlaskanArctic,1988,452948.78372809495
AlaskanArctic,1989,418310.0450653192
AlaskanArctic,1990,432810.3340664831
AlaskanArctic,1991,449195.56433323596
AlaskanArctic,1992,428025.8600474273
AlaskanArctic,1993,417909.99158643384
AlaskanArctic,1994,447958.07206040784
AlaskanArctic,1995,418636.24469699414
AlaskanArctic,1996,422221.1631834779
AlaskanArctic,1997,359063.0734280242
AlaskanArctic,1998,378029.9714809109
AlaskanArctic,1999,428414.08015346184
AlaskanArctic,2000,432538.13788157277
AlaskanArctic,2001,430866.4504057104
AlaskanArctic,2002,375091.72276049573
AlaskanArctic,2003,373158.0189924153
AlaskanArctic,2004,383657.1855690855
AlaskanArctic,2005,418394.42068484426
AlaskanArctic,2006,372698.6990196981
AlaskanArctic,2007,351146.67401280924
AlaskanArctic,2008,371159.7910086105
AlaskanArctic,2009,373520.7951680651
AlaskanArctic,2010,357102.050748006
AlaskanArctic,2011,365724.83039241366
AlaskanArctic,2012,436684.9485013805
AlaskanArctic,2013,382218.2725276268
AlaskanArctic,2014,371305.6905866061
AlaskanArctic,2015,350463.4936134186
AlaskanArctic,2016,314852.19092850713
AlaskanArctic,2017,338703.41013644065
AlaskanArctic,2018,312595.7582904615
AlaskanArctic,2019,343110.0151674898
AlaskanArctic,2020,378655.51226173854
AlaskanArctic,2021,385666.5832153896
AlaskanArctic,2022,347554.76043389307
AlaskanArctic,2023,339744.8204270699
