year,month,seaice_extent
1985,1,0.51
1985,2,0.51
1985,3,0.51
1985,4,0.51
1985,5,0.51
1985,6,0.51
1985,7,0.47
1985,8,0.38
1985,9,0.38
1985,10,0.45
1985,11,0.51
1985,12,0.51
1986,1,0.51
1986,2,0.51
1986,3,0.51
1986,4,0.51
1986,5,0.51
1986,6,0.46
1986,7,0.41
1986,8,0.3
1986,9,0.21
1986,10,0.41
1986,11,0.49
1986,12,0.51
1987,1,0.51
1987,2,0.51
1987,3,0.51
1987,4,0.51
1987,5,0.51
1987,6,0.51
1987,7,0.38
1987,8,0.21
1987,9,0.24
1987,10,0.27
1987,11,0.51
1987,12,0.51
1988,1,0.51
1988,2,0.51
1988,3,0.51
1988,4,0.51
1988,5,0.51
1988,6,0.51
1988,7,0.45
1988,8,0.4
1988,9,0.42
1988,10,0.44
1988,11,0.51
1988,12,0.51
1989,1,0.51
1989,2,0.51
1989,3,0.51
1989,4,0.51
1989,5,0.51
1989,6,0.46
1989,7,0.39
1989,8,0.26
1989,9,0.17
1989,10,0.38
1989,11,0.51
1989,12,0.51
1990,1,0.51
1990,2,0.51
1990,3,0.51
1990,4,0.51
1990,5,0.51
1990,6,0.48
1990,7,0.38
1990,8,0.26
1990,9,0.17
1990,10,0.32
1990,11,0.51
1990,12,0.51
1991,1,0.51
1991,2,0.51
1991,3,0.51
1991,4,0.51
1991,5,0.51
1991,6,0.51
1991,7,0.4
1991,8,0.38
1991,9,0.37
1991,10,0.38
1991,11,0.47
1991,12,0.51
1992,1,0.51
1992,2,0.51
1992,3,0.51
1992,4,0.51
1992,5,0.51
1992,6,0.49
1992,7,0.43
1992,8,0.35
1992,9,0.38
1992,10,0.39
1992,11,0.51
1992,12,0.51
1993,1,0.51
1993,2,0.51
1993,3,0.51
1993,4,0.51
1993,5,0.51
1993,6,0.42
1993,7,0.35
1993,8,0.22
1993,9,0.07
1993,10,0.27
1993,11,0.5
1993,12,0.51
1994,1,0.51
1994,2,0.51
1994,3,0.51
1994,4,0.51
1994,5,0.51
1994,6,0.51
1994,7,0.44
1994,8,0.34
1994,9,0.33
1994,10,0.44
1994,11,0.51
1994,12,0.51
1995,1,0.51
1995,2,0.51
1995,3,0.51
1995,4,0.51
1995,5,0.51
1995,6,0.47
1995,7,0.4
1995,8,0.28
1995,9,0.2
1995,10,0.4
1995,11,0.44
1995,12,0.51
1996,1,0.51
1996,2,0.51
1996,3,0.51
1996,4,0.51
1996,5,0.51
1996,6,0.45
1996,7,0.38
1996,8,0.28
1996,9,0.31
1996,10,0.39
1996,11,0.44
1996,12,0.51
1997,1,0.51
1997,2,0.51
1997,3,0.51
1997,4,0.51
1997,5,0.51
1997,6,0.43
1997,7,0.38
1997,8,0.2
1997,9,0.09
1997,10,0.25
1997,11,0.33
1997,12,0.51
1998,1,0.51
1998,2,0.51
1998,3,0.51
1998,4,0.51
1998,5,0.51
1998,6,0.49
1998,7,0.27
1998,8,0.06
1998,9,0.01
1998,10,0.06
1998,11,0.47
1998,12,0.51
1999,1,0.51
1999,2,0.51
1999,3,0.51
1999,4,0.51
1999,5,0.51
1999,6,0.51
1999,7,0.42
1999,8,0.22
1999,9,0.09
1999,10,0.39
1999,11,0.51
1999,12,0.51
2000,1,0.51
2000,2,0.51
2000,3,0.51
2000,4,0.51
2000,5,0.51
2000,6,0.51
2000,7,0.42
2000,8,0.33
2000,9,0.14
2000,10,0.39
2000,11,0.47
2000,12,0.51
2001,1,0.51
2001,2,0.51
2001,3,0.51
2001,4,0.51
2001,5,0.51
2001,6,0.47
2001,7,0.4
2001,8,0.36
2001,9,0.25
2001,10,0.46
2001,11,0.51
2001,12,0.51
2002,1,0.51
2002,2,0.51
2002,3,0.51
2002,4,0.51
2002,5,0.51
2002,6,0.44
2002,7,0.4
2002,8,0.22
2002,9,0.01
2002,10,0.3
2002,11,0.46
2002,12,0.51
2003,1,0.51
2003,2,0.51
2003,3,0.51
2003,4,0.51
2003,5,0.51
2003,6,0.43
2003,7,0.36
2003,8,0.1
2003,9,0.06
2003,10,0.26
2003,11,0.44
2003,12,0.51
2004,1,0.51
2004,2,0.51
2004,3,0.51
2004,4,0.51
2004,5,0.51
2004,6,0.42
2004,7,0.36
2004,8,0.09
2004,9,0.01
2004,10,0.24
2004,11,0.44
2004,12,0.51
2005,1,0.51
2005,2,0.51
2005,3,0.51
2005,4,0.51
2005,5,0.51
2005,6,0.42
2005,7,0.37
2005,8,0.22
2005,9,0.16
2005,10,0.25
2005,11,0.49
2005,12,0.51
2006,1,0.51
2006,2,0.51
2006,3,0.51
2006,4,0.51
2006,5,0.51
2006,6,0.49
2006,7,0.43
2006,8,0.33
2006,9,0.21
2006,10,0.26
2006,11,0.39
2006,12,0.51
2007,1,0.51
2007,2,0.51
2007,3,0.51
2007,4,0.51
2007,5,0.51
2007,6,0.45
2007,7,0.31
2007,8,0.1
2007,9,0.02
2007,10,0.18
2007,11,0.44
2007,12,0.51
2008,1,0.51
2008,2,0.51
2008,3,0.51
2008,4,0.51
2008,5,0.51
2008,6,0.48
2008,7,0.23
2008,8,0.03
2008,9,0.01
2008,10,0.3
2008,11,0.51
