region,year,extent
AlaskanArctic,1985,472442.7428935454
AlaskanArctic,1986,464906.5725295166
AlaskanArctic,1987,438865.0593606401
AlaskanArctic,1988,454573.23656618485
AlaskanArctic,1989,461845.6274058165
AlaskanArctic,1990,437741.20097104966
AlaskanArctic,1991,446215.9705692178
AlaskanArctic,1992,462426.4480627114
AlaskanArctic,1993,443811.9538993724
AlaskanArctic,1994,433169.1123730626
AlaskanArctic,1995,457794.24451511895
AlaskanArctic,1996,434838.4700165917
AlaskanArctic,1997,434951.1302556699
AlaskanArctic,1998,379472.9306605871
AlaskanArctic,1999,395798.28077734757
AlaskanArctic,2000,442763.87624189915
AlaskanArctic,2001,442771.62438737974
AlaskanArctic,2002,444182.0183924139
AlaskanArctic,2003,393835.7735738065
AlaskanArctic,2004,389780.53504218045
AlaskanArctic,2005,397301.278624642
AlaskanArctic,2006,434272.5698042764
AlaskanArctic,2007,398295.9418219332
AlaskanArctic,2008,370670.6823722522
AlaskanArctic,2009,398711.7624451383
AlaskanArctic,2010,393295.0259789768
AlaskanArctic,2011,373950.3593847256
AlaskanArctic,2012,378998.75607910805
AlaskanArctic,2013,378052.9805038255
AlaskanArctic,2014,404486.1312267882
AlaskanArctic,2015,387345.74115482316
AlaskanArctic,2016,370290.1514833851
AlaskanArctic,2017,337183.4628985185
AlaskanArctic,2018,355584.78911077994
AlaskanArctic,2019,332579.81336025556
AlaskanArctic,2020,359639.40385603096
AlaskanArctic,2021,393547.2547618354
AlaskanArctic,2022,405708.1746835727
AlaskanArctic,2023,371052.56952862046
AlaskanArctic,2024,351419.5160719986
