region,year,extent
EasternBering,1985,191375.5814268893
EasternBering,1986,204285.92134700908
EasternBering,1987,187312.54730393397
EasternBering,1988,257863.45868359914
EasternBering,1989,173427.37555801633
EasternBering,1990,202596.40478100433
EasternBering,1991,224329.0740061292
EasternBering,1992,232226.87644242262
EasternBering,1993,190556.51639445033
EasternBering,1994,206960.19526748176
EasternBering,1995,233508.74348580738
EasternBering,1996,154040.89392453452
EasternBering,1997,203530.2322192014
EasternBering,1998,206464.01538777613
EasternBering,1999,230117.54894005723
EasternBering,2000,220414.60650568688
EasternBering,2001,113294.65274600685
EasternBering,2002,202537.81973905946
EasternBering,2003,128141.39599469969
EasternBering,2004,155279.26816666138
EasternBering,2005,144361.760929107
EasternBering,2006,225289.5453595596
EasternBering,2007,200270.09409115268
EasternBering,2008,232682.94068806505
EasternBering,2009,237186.0764571875
EasternBering,2010,245350.86292013666
EasternBering,2011,184582.57650156543
EasternBering,2012,283704.22045838874
EasternBering,2013,308450.5728743638
EasternBering,2014,134363.93965429472
EasternBering,2015,136627.1044508248
EasternBering,2016,116856.99662090122
EasternBering,2017,138915.6977407144
EasternBering,2018,62982.552506622334
EasternBering,2019,70730.8842065569
EasternBering,2020,151670.27142485985
EasternBering,2021,138527.06760479102
EasternBering,2022,182060.82003216338
EasternBering,2023,162891.7447102007
EasternBering,2024,195334.5021498622
