region,year,extent
NorthernBering,1985,131887.3392440199
NorthernBering,1986,131844.26088421184
NorthernBering,1987,141853.86854075568
NorthernBering,1988,151039.2841694758
NorthernBering,1989,123119.56007996324
NorthernBering,1990,137428.28991196287
NorthernBering,1991,139106.37693094165
NorthernBering,1992,144152.86185826053
NorthernBering,1993,134313.44645961787
NorthernBering,1994,134006.74853796294
NorthernBering,1995,142644.2568487235
NorthernBering,1996,112701.73972692687
NorthernBering,1997,124841.79190398591
NorthernBering,1998,134034.30742581037
NorthernBering,1999,143410.0215856235
NorthernBering,2000,149341.42848254144
NorthernBering,2001,97896.58422050092
NorthernBering,2002,137294.4771492161
NorthernBering,2003,99399.97645724959
NorthernBering,2004,108793.71473652779
NorthernBering,2005,117467.31685960348
NorthernBering,2006,153302.96674539795
NorthernBering,2007,128454.21726188039
NorthernBering,2008,132378.997499047
NorthernBering,2009,144630.87993170138
NorthernBering,2010,146090.9482681267
NorthernBering,2011,118061.50451325104
NorthernBering,2012,153479.62263919477
NorthernBering,2013,186499.03670767762
NorthernBering,2014,105121.72694707394
NorthernBering,2015,101182.01566230936
NorthernBering,2016,99929.6719946029
NorthernBering,2017,90842.0366087485
NorthernBering,2018,51743.703313306156
NorthernBering,2019,58888.6222099936
NorthernBering,2020,105179.41241818984
NorthernBering,2021,110516.61619118627
NorthernBering,2022,119350.00228794907
NorthernBering,2023,121119.3385936693
NorthernBering,2024,141596.7906073329
