region,year,extent
SoutheasternBering,1985,57794.38553489494
SoutheasternBering,1986,70295.83995845482
SoutheasternBering,1987,43693.484059164875
SoutheasternBering,1988,103703.52527020416
SoutheasternBering,1989,49405.424149372804
SoutheasternBering,1990,62758.99094247235
SoutheasternBering,1991,82496.34071050725
SoutheasternBering,1992,85560.76761879225
SoutheasternBering,1993,54049.61268694661
SoutheasternBering,1994,70428.55096222057
SoutheasternBering,1995,87970.01618503194
SoutheasternBering,1996,40296.885865457116
SoutheasternBering,1997,76385.61352956311
SoutheasternBering,1998,69876.2092010864
SoutheasternBering,1999,84063.67322181232
SoutheasternBering,2000,68578.86444213304
SoutheasternBering,2001,15098.35966608104
SoutheasternBering,2002,63179.943450933264
SoutheasternBering,2003,27302.946941859453
SoutheasternBering,2004,44905.4969788753
SoutheasternBering,2005,25430.579954354384
SoutheasternBering,2006,69004.90295828453
SoutheasternBering,2007,69178.36915187618
SoutheasternBering,2008,97409.47003425963
SoutheasternBering,2009,90055.66475263784
SoutheasternBering,2010,96378.17233353978
SoutheasternBering,2011,64513.23189138857
SoutheasternBering,2012,126754.45752624238
SoutheasternBering,2013,118184.67136348154
SoutheasternBering,2014,27951.205898812157
SoutheasternBering,2015,33819.472860524635
SoutheasternBering,2016,15834.391794159594
SoutheasternBering,2017,46988.87804512279
SoutheasternBering,2018,11177.008477143365
SoutheasternBering,2019,11747.120521303603
SoutheasternBering,2020,45527.674779419925
SoutheasternBering,2021,27404.63711752556
SoutheasternBering,2022,60642.67779584895
SoutheasternBering,2023,39967.57468538031
SoutheasternBering,2024,52237.53087439804
