index,month,day,seaice_extent_mean,seaice_extent_std,date
0,1,1,334202.3427835369,133639.25263786482,01-01
1,1,2,339249.02244525705,136500.57398396818,01-02
2,1,3,342263.43009524385,137255.98221335845,01-03
3,1,4,347146.7616954476,138925.70456090296,01-04
4,1,5,350916.66244042787,139231.52760299097,01-05
5,1,6,357026.87029105873,139575.90911351415,01-06
6,1,7,367403.1753021726,138367.44327873486,01-07
7,1,8,378127.56226533547,138704.5113981165,01-08
8,1,9,383267.0103792143,137254.64141518838,01-09
9,1,10,384691.3303046143,138152.95802087127,01-10
10,1,11,390305.92705465556,137889.85937014507,01-11
11,1,12,395415.8122582419,136138.9906506658,01-12
12,1,13,397051.5801507007,134979.62706245115,01-13
13,1,14,383334.0082143929,108785.04985192958,01-14
14,1,15,385549.4023922551,105213.78672809302,01-15
15,1,16,389504.48911464267,103086.3449762737,01-16
16,1,17,395437.2007116341,95353.30844183364,01-17
17,1,18,401896.4713117584,96261.59176009445,01-18
18,1,19,410426.628431004,97686.37873233113,01-19
19,1,20,412782.00692084787,98542.26563128928,01-20
20,1,21,414177.709370686,99380.6875956901,01-21
21,1,22,415303.72619587544,99432.13889031432,01-22
22,1,23,419025.6793493914,97150.85311716009,01-23
23,1,24,423898.8491873114,97348.42304963375,01-24
24,1,25,426222.11291956686,100907.8524650542,01-25
25,1,26,432771.79741841333,105958.9817055725,01-26
26,1,27,439671.93052585365,114409.1107781705,01-27
27,1,28,444505.28484017664,120314.73805561509,01-28
28,1,29,449016.32644779707,124965.91366139166,01-29
29,1,30,452177.60589001427,128681.2703325296,01-30
30,1,31,454468.03800746886,131057.18656036566,01-31
31,2,1,454717.42532908166,134449.05837487683,02-01
32,2,2,458715.29015783494,128793.84699519498,02-02
33,2,3,459735.74670706963,126217.92222264507,02-03
34,2,4,463568.04802559264,121844.08264824266,02-04
35,2,5,464266.30214040517,123287.89733941996,02-05
36,2,6,460774.8511936829,126797.5273492924,02-06
37,2,7,459048.89183912775,129634.81762277333,02-07
38,2,8,462130.8490008496,124098.43542333777,02-08
39,2,9,460829.66042263765,123111.51857782771,02-09
40,2,10,462869.1706102204,119868.22454543221,02-10
41,2,11,462440.99277891894,117285.0907467909,02-11
42,2,12,458734.41244521015,112539.07087758233,02-12
43,2,13,457432.643299706,116127.76167656206,02-13
44,2,14,460766.9237919733,118244.69213516645,02-14
45,2,15,462439.64319025015,119245.10268868889,02-15
46,2,16,468119.74239626026,120952.92745129627,02-16
47,2,17,468570.19277139805,123577.00028596185,02-17
48,2,18,465616.3390578964,128440.95808468685,02-18
49,2,19,468119.1087119345,125911.00826536753,02-19
50,2,20,472688.5917682371,124232.01368816379,02-20
51,2,21,477637.90286131407,125705.96796231804,02-21
52,2,22,479148.72770874633,126405.99109191672,02-22
53,2,23,480011.2910060158,130298.58791858399,02-23
54,2,24,474854.59316045255,129185.84049148994,02-24
55,2,25,473100.4917273429,126779.81463972872,02-25
56,2,26,474288.12001374894,122583.23230368733,02-26
57,2,27,478598.5696774169,120562.07075508789,02-27
58,2,28,480954.52211338223,119002.20689242387,02-28
59,2,29,517354.60842001956,126409.6141139065,02-29
60,3,1,481244.9168669006,121000.73930674752,03-01
61,3,2,481367.86765979964,122439.58746263484,03-02
62,3,3,480687.45928847726,116956.2652759841,03-03
63,3,4,480349.8392906091,112859.7729408107,03-04
64,3,5,481845.5743357435,111818.08231325327,03-05
65,3,6,482819.8465985255,111197.23189475208,03-06
66,3,7,482093.753513343,112537.79553987242,03-07
67,3,8,486750.5840655766,116943.96135736023,03-08
68,3,9,490996.5522977131,119349.52294344878,03-09
69,3,10,493075.53519935266,121550.51346205913,03-10
70,3,11,497490.4559502719,120283.24828448951,03-11
71,3,12,500977.74940589914,122465.82776074694,03-12
72,3,13,500494.66451326315,124697.5329759486,03-13
73,3,14,503491.2506424352,122977.10046602217,03-14
74,3,15,506817.1575957616,120387.50319082155,03-15
75,3,16,508933.98558467004,119634.36274859581,03-16
76,3,17,512676.9025620963,120102.79891052977,03-17
77,3,18,514524.9050073443,121711.56016460841,03-18
78,3,19,513909.6553932046,125453.8697129534,03-19
79,3,20,513218.04548097064,126483.76563750907,03-20
80,3,21,517934.6579704749,129847.45315172913,03-21
81,3,22,519034.50739856303,129410.01048784386,03-22
82,3,23,519702.5371790362,126733.65124016347,03-23
83,3,24,522042.8653138516,128434.47656784893,03-24
84,3,25,522604.5863210577,129499.33115895255,03-25
85,3,26,525694.5166859071,125633.15259002113,03-26
86,3,27,524318.0494060752,125003.62364465607,03-27
87,3,28,522716.14960432326,126514.06317776036,03-28
88,3,29,524762.7021396119,124941.58875552315,03-29
89,3,30,526774.8535396395,124917.35694003796,03-30
90,3,31,522343.6418838578,124872.32265664033,03-31
91,4,1,520633.8336558548,128213.62531990909,04-01
92,4,2,515028.2353847941,128289.13985133592,04-02
93,4,3,510242.8049984593,127520.3612359522,04-03
94,4,4,506360.8391851108,127743.30331768622,04-04
95,4,5,506100.4519564349,122825.99270942883,04-05
96,4,6,504788.2369363822,124023.78533502096,04-06
97,4,7,501583.70762451715,126063.17636959265,04-07
98,4,8,496968.22104498977,125138.68267906671,04-08
99,4,9,495280.0181667637,123055.48377551908,04-09
100,4,10,490932.68699589773,120985.98249403958,04-10
101,4,11,484319.6848045488,116716.69154416792,04-11
102,4,12,479306.91574496875,122223.29267336632,04-12
103,4,13,469759.37543629477,122556.28800740467,04-13
104,4,14,464316.4247848871,128758.18461806084,04-14
105,4,15,456259.32383538684,136729.92009979812,04-15
106,4,16,452554.0309717095,137333.6638263995,04-16
107,4,17,445166.9633200851,138309.11572210855,04-17
108,4,18,442119.6935077675,136765.08732337577,04-18
109,4,19,440347.51726968517,134507.38735905153,04-19
110,4,20,437441.7205542872,132789.8821795704,04-20
111,4,21,432896.6785914993,131312.8860068655,04-21
112,4,22,421354.8819960203,127776.9218022605,04-22
113,4,23,412454.94752797845,128177.37285335978,04-23
114,4,24,405786.51631760574,126957.78470614707,04-24
115,4,25,396268.41923417564,125073.3119811583,04-25
116,4,26,386283.15884669503,127598.55893883875,04-26
117,4,27,381649.61047325766,127859.59555092685,04-27
118,4,28,375437.7980137575,124893.6452116908,04-28
119,4,29,363156.9448550489,121667.72833820064,04-29
120,4,30,355396.41394098155,124729.08344944069,04-30
