month,day,y_mean,y_std,x_mean,x_std,seaice_extent_mean,seaice_extent_std,month_day
1,1,1862500.0,367992.49,-2837500.0,353555.75,180077.4,358172.63,01-01
1,2,1862500.0,367992.49,-2837500.0,353555.75,185184.38,361911.74,01-02
1,3,1862500.0,367992.49,-2837500.0,353555.75,186815.28,363082.58,01-03
1,4,1862500.0,367992.49,-2837500.0,353555.75,189898.51,365265.9,01-04
1,5,1862500.0,367992.49,-2837500.0,353555.75,191874.63,366644.78,01-05
1,6,1862500.0,367992.49,-2837500.0,353555.75,196064.97,369516.68,01-06
1,7,1862500.0,367992.49,-2837500.0,353555.75,201564.79,373181.12,01-07
1,8,1862500.0,367992.49,-2837500.0,353555.75,206517.01,376381.43,01-08
1,9,1862500.0,367992.49,-2837500.0,353555.75,209766.9,378431.7,01-09
1,10,1862500.0,367992.49,-2837500.0,353555.75,212195.39,379938.41,01-10
1,11,1862500.0,367992.49,-2837500.0,353555.75,213742.96,380887.38,01-11
1,12,1862500.0,367992.49,-2837500.0,353555.75,217159.52,382951.94,01-12
1,13,1862500.0,367992.49,-2837500.0,353555.75,218826.13,383943.98,01-13
1,14,1862500.0,367992.49,-2837500.0,353555.75,221254.62,385372.06,01-14
1,15,1862500.0,367992.49,-2837500.0,353555.75,224183.09,387066.87,01-15
1,16,1862500.0,367992.49,-2837500.0,353555.75,226540.16,388409.58,01-16
1,17,1862500.0,367992.49,-2837500.0,353555.75,230040.04,390368.53,01-17
1,18,1862500.0,367992.49,-2837500.0,353555.75,235777.95,393491.7,01-18
1,19,1862500.0,367992.49,-2837500.0,353555.75,238492.15,394931.4,01-19
1,20,1862500.0,367992.49,-2837500.0,353555.75,242563.44,397046.37,01-20
1,21,1862500.0,367992.49,-2837500.0,353555.75,242313.45,396918.04,01-21
1,22,1862500.0,367992.49,-2837500.0,353555.75,242813.43,397174.51,01-22
1,23,1862500.0,367992.49,-2837500.0,353555.75,244908.6,398240.66,01-23
1,24,1862500.0,367992.49,-2837500.0,353555.75,247634.7,399607.16,01-24
1,25,1862500.0,367992.49,-2837500.0,353555.75,250134.62,400839.89,01-25
1,26,1862500.0,367992.49,-2837500.0,353555.75,254086.87,402749.42,01-26
1,27,1862500.0,367992.49,-2837500.0,353555.75,258622.44,404882.14,01-27
1,28,1862500.0,367992.49,-2837500.0,353555.75,261574.72,406237.15,01-28
1,29,1862500.0,367992.49,-2837500.0,353555.75,264800.81,407688.22,01-29
1,30,1862500.0,367992.49,-2837500.0,353555.75,267741.18,408984.14,01-30
1,31,1862500.0,367992.49,-2837500.0,353555.75,268431.64,409284.79,01-31
2,1,1862500.0,367992.49,-2837500.0,353555.75,269443.51,409722.89,02-01
2,2,1862500.0,367992.49,-2837500.0,353555.75,271979.14,410807.73,02-02
2,3,1862500.0,367992.49,-2837500.0,353555.75,273455.28,411430.76,02-03
2,4,1862500.0,367992.49,-2837500.0,353555.75,275229.03,412171.17,02-04
2,5,1862500.0,367992.49,-2837500.0,353555.75,276514.71,412702.24,02-05
2,6,1862500.0,367992.49,-2837500.0,353555.75,276490.9,412692.45,02-06
2,7,1862500.0,367992.49,-2837500.0,353555.75,275490.93,412279.73,02-07
2,8,1862500.0,367992.49,-2837500.0,353555.75,275693.3,412363.48,02-08
2,9,1862500.0,367992.49,-2837500.0,353555.75,276026.63,412501.18,02-09
2,10,1862500.0,367992.49,-2837500.0,353555.75,275729.02,412378.25,02-10
2,11,1862500.0,367992.49,-2837500.0,353555.75,276752.79,412800.07,02-11
2,12,1862500.0,367992.49,-2837500.0,353555.75,275752.83,412388.1,02-12
2,13,1862500.0,367992.49,-2837500.0,353555.75,275859.96,412432.37,02-13
2,14,1862500.0,367992.49,-2837500.0,353555.75,276871.84,412848.93,02-14
