month,day,y_mean,y_std,x_mean,x_std,seaice_extent_mean,seaice_extent_std,month_day
1,1,1775000.0,317465.08,-2562500.0,194724.76,98504.4,144928.24,01-01
1,2,1775000.0,317465.08,-2562500.0,194724.76,100314.95,145631.83,01-02
1,3,1775000.0,317465.08,-2562500.0,194724.76,100446.15,145681.81,01-03
1,4,1775000.0,317465.08,-2562500.0,194724.76,100970.95,145880.37,01-04
1,5,1775000.0,317465.08,-2562500.0,194724.76,101460.76,146063.75,01-05
1,6,1775000.0,317465.08,-2562500.0,194724.76,103183.85,146694.04,01-06
1,7,1775000.0,317465.08,-2562500.0,194724.76,103979.79,146977.45,01-07
1,8,1775000.0,317465.08,-2562500.0,194724.76,104749.49,147246.91,01-08
1,9,1775000.0,317465.08,-2562500.0,194724.76,107434.7,148151.82,01-09
1,10,1775000.0,317465.08,-2562500.0,194724.76,107600.89,148206.04,01-10
1,11,1775000.0,317465.08,-2562500.0,194724.76,108020.72,148342.11,01-11
1,12,1775000.0,317465.08,-2562500.0,194724.76,109437.68,148791.67,01-12
1,13,1775000.0,317465.08,-2562500.0,194724.76,110478.52,149112.47,01-13
1,14,1775000.0,317465.08,-2562500.0,194724.76,112227.85,149633.76,01-14
1,15,1775000.0,317465.08,-2562500.0,194724.76,113233.71,149923.44,01-15
1,16,1775000.0,317465.08,-2562500.0,194724.76,114230.82,150203.41,01-16
1,17,1775000.0,317465.08,-2562500.0,194724.76,115499.08,150549.2,01-17
1,18,1775000.0,317465.08,-2562500.0,194724.76,117143.45,150980.51,01-18
1,19,1775000.0,317465.08,-2562500.0,194724.76,118193.04,151245.82,01-19
1,20,1775000.0,317465.08,-2562500.0,194724.76,118691.6,151369.13,01-20
1,21,1775000.0,317465.08,-2562500.0,194724.76,119093.94,151467.37,01-21
1,22,1775000.0,317465.08,-2562500.0,194724.76,119846.15,151648.01,01-22
1,23,1775000.0,317465.08,-2562500.0,194724.76,120379.69,151773.75,01-23
1,24,1775000.0,317465.08,-2562500.0,194724.76,121385.56,152005.42,01-24
1,25,1775000.0,317465.08,-2562500.0,194724.76,121849.13,152109.83,01-25
1,26,1775000.0,317465.08,-2562500.0,194724.76,122653.82,152287.55,01-26
1,27,1775000.0,317465.08,-2562500.0,194724.76,122837.49,152327.49,01-27
1,28,1775000.0,317465.08,-2562500.0,194724.76,123239.84,152414.17,01-28
1,29,1775000.0,317465.08,-2562500.0,194724.76,122846.24,152329.39,01-29
1,30,1775000.0,317465.08,-2562500.0,194724.76,122557.6,152266.54,01-30
1,31,1775000.0,317465.08,-2562500.0,194724.76,122303.95,152210.83,01-31
2,1,1775000.0,317465.08,-2562500.0,194724.76,122426.4,152237.78,02-01
2,2,1775000.0,317465.08,-2562500.0,194724.76,123476.0,152464.53,02-02
2,3,1775000.0,317465.08,-2562500.0,194724.76,123983.3,152571.42,02-03
2,4,1775000.0,317465.08,-2562500.0,194724.76,124376.9,152653.14,02-04
2,5,1775000.0,317465.08,-2562500.0,194724.76,124499.35,152678.35,02-05
2,6,1775000.0,317465.08,-2562500.0,194724.76,124210.71,152618.77,02-06
2,7,1775000.0,317465.08,-2562500.0,194724.76,123957.06,152565.94,02-07
2,8,1775000.0,317465.08,-2562500.0,194724.76,124193.22,152615.14,02-08
2,9,1775000.0,317465.08,-2562500.0,194724.76,124516.84,152681.94,02-09
2,10,1775000.0,317465.08,-2562500.0,194724.76,124639.3,152707.04,02-10
2,11,1775000.0,317465.08,-2562500.0,194724.76,125067.88,152794.05,02-11
2,12,1775000.0,317465.08,-2562500.0,194724.76,125688.89,152917.91,02-12
2,13,1775000.0,317465.08,-2562500.0,194724.76,125618.92,152904.08,02-13
2,14,1775000.0,317465.08,-2562500.0,194724.76,125706.38,152921.36,02-14
2,15,1775000.0,317465.08,-2562500.0,194724.76,126152.46,153008.66,02-15
2,16,1775000.0,317465.08,-2562500.0,194724.76,125513.96,152883.28,02-16
2,17,1775000.0,317465.08,-2562500.0,194724.76,124884.2,152756.91,02-17
2,18,1775000.0,317465.08,-2562500.0,194724.76,124140.74,152604.24,02-18
2,19,1775000.0,317465.08,-2562500.0,194724.76,124770.5,152733.8,02-19
2,20,1775000.0,317465.08,-2562500.0,194724.76,124936.68,152767.54,02-20
2,21,1775000.0,317465.08,-2562500.0,194724.76,124586.82,152696.29,02-21
2,22,1775000.0,317465.08,-2562500.0,194724.76,123782.13,152529.25,02-22
2,23,1775000.0,317465.08,-2562500.0,194724.76,123406.02,152449.65,02-23
2,24,1775000.0,317465.08,-2562500.0,194724.76,123790.88,152531.09,02-24
2,25,1775000.0,317465.08,-2562500.0,194724.76,124070.77,152589.68,02-25
2,26,1775000.0,317465.08,-2562500.0,194724.76,124254.45,152627.83,02-26
2,27,1775000.0,317465.08,-2562500.0,194724.76,124184.47,152613.32,02-27
2,28,1775000.0,317465.08,-2562500.0,194724.76,124779.24,152735.59,02-28
2,29,1775000.0,317477.33,-2562500.0,194732.27,133560.85,154268.77,02-29
3,1,1775000.0,317465.08,-2562500.0,194724.76,124962.92,152772.85,03-01
3,2,1775000.0,317465.08,-2562500.0,194724.76,124184.47,152613.32,03-02
3,3,1775000.0,317465.08,-2562500.0,194724.76,123895.84,152553.12,03-03
3,4,1775000.0,317465.08,-2562500.0,194724.76,123869.6,152547.62,03-04
3,5,1775000.0,317465.08,-2562500.0,194724.76,124000.79,152575.08,03-05
3,6,1775000.0,317465.08,-2562500.0,194724.76,124298.18,152636.88,03-06
3,7,1775000.0,317465.08,-2562500.0,194724.76,124350.66,152647.73,03-07
3,8,1775000.0,317465.08,-2562500.0,194724.76,124761.75,152732.02,03-08
3,9,1775000.0,317465.08,-2562500.0,194724.76,125513.96,152883.28,03-09
3,10,1775000.0,317465.08,-2562500.0,194724.76,126476.09,153071.15,03-10
3,11,1775000.0,317465.08,-2562500.0,194724.76,127280.78,153223.46,03-11
3,12,1775000.0,317465.08,-2562500.0,194724.76,128102.96,153374.56,03-12
3,13,1775000.0,317465.08,-2562500.0,194724.76,128286.64,153407.7,03-13
3,14,1775000.0,317465.08,-2562500.0,194724.76,128758.95,153491.86,03-14
3,15,1775000.0,317465.08,-2562500.0,194724.76,129126.31,153556.28,03-15
3,16,1775000.0,317465.08,-2562500.0,194724.76,129502.42,153621.3,03-16
3,17,1775000.0,317465.08,-2562500.0,194724.76,129931.0,153694.23,03-17
3,18,1775000.0,317465.08,-2562500.0,194724.76,129379.96,153600.23,03-18
3,19,1775000.0,317465.08,-2562500.0,194724.76,128715.22,153484.13,03-19
3,20,1775000.0,317465.08,-2562500.0,194724.76,128706.47,153482.58,03-20
3,21,1775000.0,317465.08,-2562500.0,194724.76,128758.95,153491.86,03-21
3,22,1775000.0,317465.08,-2562500.0,194724.76,129205.03,153569.96,03-22
3,23,1775000.0,317465.08,-2562500.0,194724.76,128653.99,153473.28,03-23
3,24,1775000.0,317465.08,-2562500.0,194724.76,128137.94,153380.89,03-24
3,25,1775000.0,317465.08,-2562500.0,194724.76,127280.78,153223.46,03-25
3,26,1775000.0,317465.08,-2562500.0,194724.76,127420.72,153249.5,03-26
3,27,1775000.0,317465.08,-2562500.0,194724.76,127394.48,153244.63,03-27
3,28,1775000.0,317465.08,-2562500.0,194724.76,126738.49,153121.3,03-28
3,29,1775000.0,317465.08,-2562500.0,194724.76,126965.9,153164.38,03-29
3,30,1775000.0,317465.08,-2562500.0,194724.76,126572.3,153089.59,03-30
3,31,1775000.0,317465.08,-2562500.0,194724.76,126003.77,152979.71,03-31
4,1,1775000.0,317465.08,-2562500.0,194724.76,125513.96,152883.28,04-01
4,2,1775000.0,317465.08,-2562500.0,194724.76,125321.53,152844.96,04-02
4,3,1775000.0,317465.08,-2562500.0,194724.76,125164.09,152813.41,04-03
4,4,1775000.0,317465.08,-2562500.0,194724.76,125382.76,152857.18,04-04
4,5,1775000.0,317465.08,-2562500.0,194724.76,125855.08,152950.61,04-05
4,6,1775000.0,317465.08,-2562500.0,194724.76,126222.44,153022.23,04-06
4,7,1775000.0,317465.08,-2562500.0,194724.76,126624.78,153099.62,04-07
4,8,1775000.0,317465.08,-2562500.0,194724.76,126213.69,153020.54,04-08
4,9,1775000.0,317465.08,-2562500.0,194724.76,125951.29,152969.46,04-09
4,10,1775000.0,317465.08,-2562500.0,194724.76,125443.99,152869.38,04-10
4,11,1775000.0,317465.08,-2562500.0,194724.76,125443.99,152869.38,04-11
4,12,1775000.0,317465.08,-2562500.0,194724.76,124892.95,152758.68,04-12
4,13,1775000.0,317465.08,-2562500.0,194724.76,123808.37,152534.76,04-13
4,14,1775000.0,317465.08,-2562500.0,194724.76,122854.99,152331.28,04-14
4,15,1775000.0,317465.08,-2562500.0,194724.76,121805.39,152100.04,04-15
4,16,1775000.0,317465.08,-2562500.0,194724.76,121131.9,151947.66,04-16
4,17,1775000.0,317465.08,-2562500.0,194724.76,120440.92,151788.05,04-17
4,18,1775000.0,317465.08,-2562500.0,194724.76,120615.85,151828.77,04-18
4,19,1775000.0,317465.08,-2562500.0,194724.76,120572.12,151818.61,04-19
4,20,1775000.0,317465.08,-2562500.0,194724.76,120572.12,151818.61,04-20
4,21,1775000.0,317465.08,-2562500.0,194724.76,120091.06,151705.97,04-21
4,22,1775000.0,317465.08,-2562500.0,194724.76,119242.63,151503.39,04-22
4,23,1775000.0,317465.08,-2562500.0,194724.76,118053.09,151210.89,04-23
4,24,1775000.0,317465.08,-2562500.0,194724.76,116723.61,150872.21,04-24
4,25,1775000.0,317465.08,-2562500.0,194724.76,115341.64,150506.9,04-25
4,26,1775000.0,317465.08,-2562500.0,194724.76,113050.03,149871.09,04-26
4,27,1775000.0,317465.08,-2562500.0,194724.76,110583.48,149144.38,04-27
4,28,1775000.0,317465.08,-2562500.0,194724.76,109201.52,148717.78,04-28
4,29,1775000.0,317465.08,-2562500.0,194724.76,106874.92,147967.65,04-29
4,30,1775000.0,317465.08,-2562500.0,194724.76,104014.77,146989.8,04-30
5,1,1775000.0,317465.08,-2562500.0,194724.76,101443.27,146057.23,05-01
5,2,1775000.0,317465.08,-2562500.0,194724.76,99169.15,145189.58,05-02
5,3,1775000.0,317465.08,-2562500.0,194724.76,97997.1,144726.42,05-03
5,4,1775000.0,317465.08,-2562500.0,194724.76,95854.18,143851.06,05-04
5,5,1775000.0,317465.08,-2562500.0,194724.76,92775.37,142527.59,05-05
5,6,1775000.0,317465.08,-2562500.0,194724.76,91200.98,141820.22,05-06
5,7,1775000.0,317465.08,-2562500.0,194724.76,88358.33,140489.33,05-07
5,8,1775000.0,317465.08,-2562500.0,194724.76,85594.4,139127.41,05-08
5,9,1775000.0,317465.08,-2562500.0,194724.76,82777.99,137668.71,05-09
5,10,1775000.0,317465.08,-2562500.0,194724.76,79909.1,136106.85,05-10
5,11,1775000.0,317465.08,-2562500.0,194724.76,77678.71,134837.94,05-11
5,12,1775000.0,317465.08,-2562500.0,194724.76,75159.68,133345.44,05-12
5,13,1775000.0,317465.08,-2562500.0,194724.76,72491.96,131693.89,05-13
5,14,1775000.0,317465.08,-2562500.0,194724.76,69570.59,129798.34,05-14
5,15,1775000.0,317465.08,-2562500.0,194724.76,67558.87,128438.12,05-15
5,16,1775000.0,317465.08,-2562500.0,194724.76,65083.58,126700.62,05-16
5,17,1775000.0,317465.08,-2562500.0,194724.76,61366.27,123952.75,05-17
5,18,1775000.0,317465.08,-2562500.0,194724.76,58821.0,121970.26,05-18
5,19,1775000.0,317465.08,-2562500.0,194724.76,55357.34,119132.18,05-19
5,20,1775000.0,317465.08,-2562500.0,194724.76,52645.89,116790.7,05-20
5,21,1775000.0,317465.08,-2562500.0,194724.76,49934.44,114337.02,05-21
5,22,1775000.0,317465.08,-2562500.0,194724.76,45779.8,110342.48,05-22
5,23,1775000.0,317465.08,-2562500.0,194724.76,43374.48,107889.21,05-23
5,24,1775000.0,317465.08,-2562500.0,194724.76,39692.15,103913.66,05-24
5,25,1775000.0,317465.08,-2562500.0,194724.76,36910.73,100717.64,05-25
5,26,1775000.0,317465.08,-2562500.0,194724.76,33893.14,97041.28,05-26
5,27,1775000.0,317465.08,-2562500.0,194724.76,31601.53,94088.89,05-27
