month,day,seaice_extent_mean,seaice_extent_std,month_day
1,1,88411.68,64400.51,01-01
1,2,93801.76,67710.05,01-02
1,3,96878.65,68850.75,01-03
1,4,98758.03,72326.09,01-04
1,5,101842.09,78593.46,01-05
1,6,106677.68,81782.35,01-06
1,7,114483.84,83712.22,01-07
1,8,125611.52,89133.97,01-08
1,9,124875.05,87448.55,01-09
1,10,128049.61,87824.18,01-10
1,11,130986.84,86698.14,01-11
1,12,131561.86,86267.67,01-12
1,13,134347.54,84365.79,01-13
1,14,134703.95,80889.25,01-14
1,15,135234.43,78769.45,01-15
1,16,135486.66,76196.37,01-16
1,17,135997.12,66025.45,01-17
1,18,137259.9,64535.85,01-18
1,19,140451.46,64515.39,01-19
1,20,146152.94,65814.95,01-20
1,21,145938.17,65217.55,01-21
1,22,144061.83,65754.07,01-22
1,23,143253.57,63170.98,01-23
1,24,144555.34,64398.02,01-24
1,25,146192.21,69372.19,01-25
1,26,151271.97,73512.74,01-26
1,27,159858.62,81359.99,01-27
1,28,165980.25,87714.31,01-28
1,29,174470.13,91959.68,01-29
1,30,182404.23,91177.35,01-30
1,31,185329.98,92358.68,01-31
2,1,184999.51,97373.45,02-01
2,2,186505.28,92519.84,02-02
2,3,186695.0,88744.64,02-03
2,4,190434.97,87442.18,02-04
2,5,194121.91,89080.33,02-05
2,6,193646.06,91730.33,02-06
2,7,192953.56,93676.07,02-07
2,8,191626.68,93350.26,02-08
2,9,188994.99,91019.23,02-09
2,10,186503.84,92338.37,02-10
2,11,184894.25,88622.57,02-11
2,12,180635.19,84825.98,02-12
2,13,177628.14,85839.87,02-13
2,14,178148.75,89125.49,02-14
2,15,178249.29,93617.65,02-15
2,16,183029.34,98913.39,02-16
2,17,181171.64,103140.1,02-17
2,18,178750.79,106825.24,02-18
2,19,180662.18,110689.39,02-19
2,20,182016.9,112477.76,02-20
2,21,186313.57,113239.63,02-21
2,22,189296.53,111615.05,02-22
2,23,188677.26,111993.33,02-23
2,24,183268.29,105663.27,02-24
2,25,181805.54,104136.05,02-25
2,26,179958.02,103708.39,02-26
2,27,182133.17,100555.51,02-27
2,28,183850.25,94822.4,02-28
2,29,183787.84,128119.46,02-29
3,1,184181.57,97077.12,03-01
3,2,183523.12,98828.85,03-02
3,3,178116.69,95803.09,03-03
3,4,173876.85,93195.87,03-04
3,5,175053.91,95883.68,03-05
3,6,175307.94,96346.05,03-06
3,7,174483.41,95427.5,03-07
3,8,180194.31,100422.58,03-08
3,9,183349.82,104907.55,03-09
3,10,182768.81,109272.74,03-10
3,11,184584.63,111611.18,03-11
3,12,184766.69,114506.04,03-12
3,13,182013.37,119212.84,03-13
3,14,183000.18,120449.27,03-14
3,15,184973.92,118410.07,03-15
3,16,189083.53,117443.26,03-16
3,17,194873.13,119914.78,03-17
3,18,199779.26,121827.87,03-18
3,19,198214.12,123307.15,03-19
3,20,197943.32,123237.93,03-20
3,21,205107.55,130318.17,03-21
3,22,207052.91,131176.57,03-22
3,23,206448.57,129085.68,03-23
3,24,209940.01,132291.2,03-24
3,25,210821.52,131327.24,03-25
3,26,213127.29,125751.96,03-26
3,27,212819.3,123303.57,03-27
3,28,211940.93,124484.56,03-28
3,29,214456.57,120918.48,03-29
3,30,214115.08,118442.82,03-30
3,31,209947.26,118263.31,03-31
4,1,209659.25,120453.69,04-01
4,2,203662.65,118280.5,04-02
4,3,198233.14,117985.55,04-03
4,4,194336.34,115109.05,04-04
4,5,195736.99,109432.59,04-05
4,6,194017.3,109024.72,04-06
4,7,190535.39,108767.68,04-07
4,8,186836.94,108487.15,04-08
4,9,181183.26,108808.44,04-09
4,10,172889.27,106320.54,04-10
4,11,168113.66,106828.87,04-11
