month,day,seaice_extent_mean,seaice_extent_std,month_day
1,1,77399.17,62362.78,01-01
1,2,81097.95,63840.1,01-02
1,3,83106.25,65942.74,01-03
1,4,86548.22,68563.03,01-04
1,5,89561.69,72998.16,01-05
1,6,92209.07,76232.38,01-06
1,7,98189.31,78413.37,01-07
1,8,104991.68,84502.7,01-08
1,9,103767.66,82809.06,01-09
1,10,106308.3,83378.54,01-10
1,11,108756.52,83706.44,01-11
1,12,110583.73,83288.17,01-12
1,13,111453.58,82390.79,01-13
1,14,111839.28,80175.75,01-14
1,15,112522.75,78129.02,01-15
1,16,113892.0,76215.4,01-16
1,17,116956.69,68899.76,01-17
1,18,119612.44,69446.44,01-18
1,19,121655.97,70569.52,01-19
1,20,126816.38,72005.8,01-20
1,21,127403.77,72084.32,01-21
1,22,127276.51,71928.66,01-22
1,23,128800.26,72115.4,01-23
1,24,131441.19,72707.15,01-24
1,25,134124.65,76309.33,01-25
1,26,138550.08,80302.23,01-26
1,27,144129.6,88008.1,01-27
1,28,148636.53,93766.86,01-28
1,29,153494.29,97101.04,01-29
1,30,158573.42,98191.42,01-30
1,31,161872.46,99251.09,01-31
2,1,162303.11,103121.39,02-01
2,2,164232.7,101500.74,02-02
2,3,165203.12,98290.11,02-03
2,4,166700.44,97748.95,02-04
2,5,168831.02,97996.95,02-05
2,6,168753.6,99323.61,02-06
2,7,168257.05,99963.84,02-07
2,8,168763.16,99317.81,02-08
2,9,168038.74,97626.9,02-09
2,10,168246.6,97471.25,02-10
2,11,168177.72,94033.64,02-11
2,12,164996.39,90698.07,02-12
2,13,165567.99,91382.51,02-13
2,14,167195.18,94770.53,02-14
2,15,168197.12,97620.99,02-15
2,16,170994.9,102125.67,02-16
2,17,169021.54,104666.31,02-17
2,18,165956.87,106691.73,02-18
2,19,165781.2,107679.49,02-19
2,20,167711.05,108141.46,02-20
2,21,169650.28,109222.51,02-21
2,22,169987.12,109239.95,02-22
2,23,167890.86,111599.42,02-23
2,24,163645.23,109284.02,02-24
2,25,161177.7,110053.94,02-25
2,26,159005.53,109932.12,02-26
2,27,161237.38,109630.79,02-27
2,28,165053.11,109504.11,02-28
2,29,187416.8,131150.34,02-29
3,1,168213.7,110802.13,03-01
3,2,168856.92,113675.18,03-02
3,3,166307.29,111959.36,03-03
3,4,164789.96,109680.7,03-04
3,5,164165.04,106990.49,03-05
3,6,164483.48,104941.67,03-06
3,7,163912.18,103423.23,03-07
3,8,169498.5,108067.4,03-08
3,9,173550.96,110604.13,03-09
3,10,175049.99,111650.9,03-10
3,11,177866.48,113341.15,03-11
3,12,179913.37,115064.68,03-12
3,13,178843.24,117424.58,03-13
3,14,180859.24,119345.14,03-14
3,15,184565.09,118162.95,03-15
3,16,187389.31,117546.82,03-16
3,17,190222.45,119178.08,03-17
3,18,192067.52,121246.15,03-18
3,19,190348.34,123809.48,03-19
3,20,189223.37,124842.6,03-20
3,21,192749.7,129677.99,03-21
3,22,193543.61,129717.92,03-22
3,23,191642.31,126554.19,03-23
3,24,191664.04,130002.58,03-24
3,25,190327.53,130560.46,03-25
3,26,192328.48,126594.2,03-26
3,27,192743.46,124631.02,03-27
3,28,191298.17,125191.58,03-28
3,29,193502.91,124021.05,03-29
3,30,195218.8,122676.58,03-30
3,31,191457.04,121658.87,03-31
4,1,190130.17,123156.96,04-01
4,2,185274.98,121458.92,04-02
4,3,180482.36,120713.08,04-03
4,4,175462.26,119238.8,04-04
4,5,175781.24,116515.38,04-05
4,6,174408.38,116376.18,04-06
4,7,170400.74,113475.51,04-07
4,8,167280.53,111948.27,04-08
4,9,162224.88,111021.34,04-09
4,10,157922.33,109764.44,04-10
4,11,155294.22,110850.04,04-11
4,12,149070.44,114860.24,04-12
4,13,144463.68,113773.47,04-13
4,14,141952.95,117216.18,04-14
4,15,138270.42,121120.58,04-15
4,16,134811.02,120032.42,04-16
4,17,128493.33,118049.4,04-17
4,18,126622.59,115536.94,04-18
4,19,124444.75,112369.5,04-19
4,20,122867.92,110473.96,04-20
4,21,119511.11,106789.14,04-21
4,22,109949.75,99257.98,04-22
4,23,104905.33,97551.58,04-23
4,24,100953.21,95062.36,04-24
4,25,93687.38,91736.82,04-25
4,26,89679.65,88673.42,04-26
4,27,88215.4,87267.53,04-27
4,28,82318.02,83120.64,04-28
4,29,75031.41,76846.95,04-29
4,30,72086.01,74658.22,04-30
5,1,69780.72,71343.42,05-01
5,2,66515.61,68538.71,05-02
5,3,64136.99,65506.1,05-03
5,4,61390.52,64185.14,05-04
5,5,58652.22,62273.0,05-05
5,6,56259.82,60461.82,05-06
5,7,55278.5,59892.5,05-07
