month,day,seaice_extent_mean,seaice_extent_std,month_day
9,1,5919.409084,726.3995492,09-01
9,2,5978.908296,559.7038835,09-02
9,3,5979.929584,560.3450379,09-03
9,4,5919.297309,653.7555838,09-04
9,5,5838.975928,611.9593938,09-05
9,6,6019.644296,683.6642447,09-06
9,7,5919.350384,593.65039,09-07
9,8,6078.908232,538.5892987,09-08
9,9,5879.011026,583.3739844,09-09
9,10,5978.523812,559.4705402,09-10
9,11,6019.956611,770.400909,09-11
9,12,6158.776145,613.2803914,09-12
9,13,5958.655472,578.2710467,09-13
9,14,6059.131451,718.5787824,09-14
9,15,5919.737443,793.2944249,09-15
9,16,5879.328495,734.7049369,09-16
9,17,6059.368252,540.1471717,09-17
9,18,6078.99979,859.1546131,09-18
9,19,6240.551011,836.8077606,09-19
9,20,6099.028229,698.8332061,09-20
9,21,6340.715916,790.6858353,09-21
9,22,6079.696159,943.2560778,09-22
9,23,6199.335476,516.877636,09-23
9,24,6098.377838,512.1433377,09-24
9,25,5998.855336,538.1416905,09-25
9,26,6119.090796,510.0383517,09-26
9,27,5939.314858,597.421442,09-27
9,28,6099.153648,681.0625388,09-28
9,29,6159.376786,503.2482572,09-29
9,30,6098.123737,623.0543377,09-30
10,1,11785.44925,7915.525385,10-01
10,2,9578.048445,5027.419768,10-02
10,3,10250.34836,5959.763678,10-03
10,4,9675.06135,6990.304202,10-04
10,5,9458.718867,4104.980876,10-05
10,6,11722.88818,9155.122301,10-06
10,7,8880.390543,4703.880842,10-07
10,8,8942.017794,4341.277828,10-08
10,9,9036.018063,4016.603913,10-09
10,10,10197.71555,6260.367283,10-10
10,11,8580.408831,3180.905788,10-11
10,12,9989.429603,10166.45038,10-12
10,13,8833.483451,4369.344891,10-13
10,14,10321.70635,10175.65018,10-14
10,15,9329.109679,5350.178911,10-15
10,16,9911.135392,5407.869722,10-16
10,17,9392.72989,6468.095133,10-17
10,18,9376.526909,4495.683849,10-18
10,19,10552.6081,5907.996032,10-19
10,20,9946.44865,4375.353199,10-20
10,21,11505.70016,5626.020654,10-21
10,22,12259.33546,8495.928349,10-22
10,23,11692.48427,6259.467342,10-23
10,24,11814.04648,6444.518833,10-24
10,25,11734.70927,7330.644357,10-25
10,26,12675.45073,9076.874484,10-26
10,27,13654.42409,9538.51309,10-27
10,28,13831.24656,8846.645797,10-28
10,29,15461.63069,11708.4766,10-29
10,30,15279.59853,13737.93328,10-30
10,31,17402.44177,14699.19373,10-31
11,1,20456.87453,19622.93244,11-01
11,2,21079.04566,20535.50183,11-02
11,3,23638.98054,22136.20925,11-03
11,4,24332.56502,20488.59229,11-04
11,5,22718.04776,21313.07142,11-05
11,6,25876.35554,24362.13616,11-06
11,7,30329.09582,27006.17959,11-07
11,8,33033.72648,28482.14114,11-08
11,9,37168.80028,29645.20725,11-09
11,10,35607.83957,29648.27556,11-10
11,11,37547.58681,32001.34708,11-11
11,12,39693.64119,33937.88261,11-12
11,13,45262.97655,39037.57714,11-13
11,14,48243.95673,39409.15224,11-14
11,15,52747.89064,45632.06243,11-15
11,16,55211.88094,46364.44247,11-16
11,17,57197.22276,47625.07313,11-17
11,18,60230.61719,46611.08468,11-18
11,19,67219.79876,46395.78477,11-19
11,20,71833.00037,50109.45391,11-20
11,21,81919.88688,55639.68979,11-21
11,22,85880.34885,60234.17029,11-22
11,23,94843.39966,63667.60642,11-23
11,24,102243.8376,68878.2609,11-24
11,25,113716.9877,69262.33825,11-25
11,26,120205.4264,70927.57556,11-26
11,27,124978.4879,70940.98519,11-27
11,28,128942.0541,75054.40935,11-28
11,29,133876.873,77958.80602,11-29
11,30,139482.4664,79342.19149,11-30
12,1,149373.2694,84139.14315,12-01
12,2,154520.1893,81773.50429,12-02
12,3,174357.9665,115845.3134,12-03
12,4,197487.0391,143353.4399,12-04
12,5,202163.4875,141053.9396,12-05
12,6,206675.0899,141182.8972,12-06
12,7,211905.579,143280.6295,12-07
12,8,216600.5607,143691.543,12-08
12,9,219506.437,142699.2214,12-09
12,10,222337.8891,141953.5589,12-10
12,11,214512.2139,120206.2903,12-11
12,12,222466.3272,120033.1235,12-12
12,13,228220.21,123097.93,12-13
12,14,235515.7998,122698.7697,12-14
12,15,242249.8125,120978.6444,12-15
12,16,247894.2701,120154.6924,12-16
12,17,250839.4436,114655.2928,12-17
12,18,256662.5916,114555.8671,12-18
12,19,259825.2391,115827.2017,12-19
12,20,263321.3309,118733.1457,12-20
12,21,266754.5184,119795.0417,12-21
12,22,280437.1295,119630.8837,12-22
12,23,283974.4081,117539.3029,12-23
12,24,290421.1338,113927.1027,12-24
12,25,299096.4388,110114.538,12-25
12,26,316120.9727,123065.239,12-26
12,27,322231.5072,124760.2522,12-27
12,28,310645.1988,112907.7988,12-28
12,29,316523.3149,112951.3386,12-29
12,30,322540.0757,116144.6513,12-30
12,31,325064.1551,119168.4618,12-31
1,1,334202.3428,133639.2526,01-01
1,2,339249.0224,136500.574,01-02
1,3,342263.4301,137255.9822,01-03
1,4,347146.7617,138925.7046,01-04
1,5,350916.6624,139231.5276,01-05
1,6,357026.8703,139575.9091,01-06
1,7,367403.1753,138367.4433,01-07
1,8,378127.5623,138704.5114,01-08
1,9,383267.0104,137254.6414,01-09
1,10,384691.3303,138152.958,01-10
1,11,390305.9271,137889.8594,01-11
1,12,395415.8123,136138.9907,01-12
1,13,397051.5802,134979.6271,01-13
1,14,383334.0082,108785.0499,01-14
1,15,385549.4024,105213.7867,01-15
1,16,389504.4891,103086.345,01-16
1,17,395437.2007,95353.30844,01-17
1,18,401896.4713,96261.59176,01-18
1,19,410426.6284,97686.37873,01-19
1,20,412782.0069,98542.26563,01-20
1,21,414177.7094,99380.6876,01-21
1,22,415303.7262,99432.13889,01-22
1,23,419025.6793,97150.85312,01-23
1,24,423898.8492,97348.42305,01-24
1,25,426222.1129,100907.8525,01-25
1,26,432771.7974,105958.9817,01-26
1,27,439671.9305,114409.1108,01-27
1,28,444505.2848,120314.7381,01-28
1,29,449016.3264,124965.9137,01-29
1,30,452177.6059,128681.2703,01-30
1,31,454468.038,131057.1866,01-31
2,1,454717.4253,134449.0584,02-01
2,2,458715.2902,128793.847,02-02
2,3,459735.7467,126217.9222,02-03
2,4,463568.048,121844.0826,02-04
2,5,464266.3021,123287.8973,02-05
2,6,460774.8512,126797.5273,02-06
2,7,459048.8918,129634.8176,02-07
2,8,462130.849,124098.4354,02-08
2,9,460829.6604,123111.5186,02-09
2,10,462869.1706,119868.2245,02-10
2,11,462440.9928,117285.0907,02-11
2,12,458734.4124,112539.0709,02-12
2,13,457432.6433,116127.7617,02-13
2,14,460766.9238,118244.6921,02-14
2,15,462439.6432,119245.1027,02-15
2,16,468119.7424,120952.9275,02-16
2,17,468570.1928,123577.0003,02-17
2,18,465616.3391,128440.9581,02-18
2,19,468119.1087,125911.0083,02-19
2,20,472688.5918,124232.0137,02-20
2,21,477637.9029,125705.968,02-21
2,22,479148.7277,126405.9911,02-22
2,23,480011.291,130298.5879,02-23
2,24,474854.5932,129185.8405,02-24
2,25,473100.4917,126779.8146,02-25
2,26,474288.12,122583.2323,02-26
2,27,478598.5697,120562.0708,02-27
2,28,480954.5221,119002.2069,02-28
2,29,517354.6084,126409.6141,02-29
3,1,481244.9169,121000.7393,03-01
3,2,481367.8677,122439.5875,03-02
3,3,480687.4593,116956.2653,03-03
3,4,480349.8393,112859.7729,03-04
3,5,481845.5743,111818.0823,03-05
3,6,482819.8466,111197.2319,03-06
3,7,482093.7535,112537.7955,03-07
3,8,486750.5841,116943.9614,03-08
3,9,490996.5523,119349.5229,03-09
3,10,493075.5352,121550.5135,03-10
3,11,497490.456,120283.2483,03-11
3,12,500977.7494,122465.8278,03-12
3,13,500494.6645,124697.533,03-13
3,14,503491.2506,122977.1005,03-14
3,15,506817.1576,120387.5032,03-15
3,16,508933.9856,119634.3627,03-16
3,17,512676.9026,120102.7989,03-17
3,18,514524.905,121711.5602,03-18
3,19,513909.6554,125453.8697,03-19
3,20,513218.0455,126483.7656,03-20
3,21,517934.658,129847.4532,03-21
3,22,519034.5074,129410.0105,03-22
3,23,519702.5372,126733.6512,03-23
3,24,522042.8653,128434.4766,03-24
3,25,522604.5863,129499.3312,03-25
3,26,525694.5167,125633.1526,03-26
3,27,524318.0494,125003.6236,03-27
3,28,522716.1496,126514.0632,03-28
3,29,524762.7021,124941.5888,03-29
3,30,526774.8535,124917.3569,03-30
3,31,522343.6419,124872.3227,03-31
4,1,520633.8337,128213.6253,04-01
4,2,515028.2354,128289.1399,04-02
4,3,510242.805,127520.3612,04-03
4,4,506360.8392,127743.3033,04-04
4,5,506100.452,122825.9927,04-05
4,6,504788.2369,124023.7853,04-06
4,7,501583.7076,126063.1764,04-07
4,8,496968.221,125138.6827,04-08
4,9,495280.0182,123055.4838,04-09
4,10,490932.687,120985.9825,04-10
4,11,484319.6848,116716.6915,04-11
4,12,479306.9157,122223.2927,04-12
4,13,469759.3754,122556.288,04-13
4,14,464316.4248,128758.1846,04-14
4,15,456259.3238,136729.9201,04-15
4,16,452554.031,137333.6638,04-16
4,17,445166.9633,138309.1157,04-17
4,18,442119.6935,136765.0873,04-18
4,19,440347.5173,134507.3874,04-19
4,20,437441.7206,132789.8822,04-20
4,21,432896.6786,131312.886,04-21
4,22,421354.882,127776.9218,04-22
4,23,412454.9475,128177.3729,04-23
4,24,405786.5163,126957.7847,04-24
4,25,396268.4192,125073.312,04-25
4,26,386283.1588,127598.5589,04-26
4,27,381649.6105,127859.5956,04-27
4,28,375437.798,124893.6452,04-28
4,29,363156.9449,121667.7283,04-29
4,30,355396.4139,124729.0834,04-30
5,1,347815.5301,125612.4469,05-01
5,2,338680.2872,123872.7391,05-02
5,3,332070.6896,123459.6496,05-03
5,4,324277.033,123349.1148,05-04
5,5,313489.0982,129893.7416,05-05
5,6,305440.9018,128348.1498,05-06
5,7,296960.2618,129638.6421,05-07
5,8,290458.3117,128351.3719,05-08
5,9,279062.2458,129192.6246,05-09
5,10,269853.4634,129220.3471,05-10
5,11,261228.1612,127599.8939,05-11
5,12,251106.6376,126451.4325,05-12
5,13,242080.3648,126945.6367,05-13
5,14,232715.796,123224.7041,05-14
5,15,224026.8244,120195.0489,05-15
5,16,214513.5473,117716.9605,05-16
5,17,203687.1496,115505.0539,05-17
5,18,193840.0475,113872.645,05-18
5,19,184466.1085,110713.7259,05-19
5,20,176382.1302,109400.465,05-20
5,21,167977.3073,105772.9828,05-21
5,22,153760.0334,103073.4284,05-22
5,23,147985.7419,99126.6999,05-23
5,24,139355.8416,95981.81824,05-24
5,25,129968.985,93060.83208,05-25
5,26,121987.0218,89375.93117,05-26
5,27,114952.5816,83755.085,05-27
5,28,107648.5362,82997.53902,05-28
5,29,100405.289,79097.12968,05-29
5,30,93503.57181,75666.61324,05-30
5,31,88582.22729,71207.51808,05-31
6,1,78216.70485,65795.03137,06-01
6,2,70792.07124,61764.4257,06-02
6,3,63566.0125,57074.37995,06-03
6,4,55959.94404,53089.58116,06-04
6,5,51947.29191,49196.16978,06-05
6,6,43057.67222,42697.7853,06-06
6,7,40477.1264,38966.62666,06-07
6,8,35318.51391,35689.6445,06-08
6,9,30345.1644,31185.5561,06-09
6,10,27846.91752,30116.96986,06-10
6,11,25206.63561,27209.27915,06-11
6,12,23732.62155,26211.81501,06-12
6,13,20717.53652,21580.60342,06-13
6,14,19120.28187,18210.86379,06-14
6,15,17228.57975,16339.19253,06-15
6,16,16528.68503,15286.27062,06-16
6,17,15889.6267,12814.94005,06-17
6,18,14174.5176,10384.15779,06-18
6,19,12543.42036,8792.306048,06-19
6,20,12367.26177,8337.673235,06-20
6,21,12692.10108,7977.503289,06-21
6,22,13175.26794,7254.511979,06-22
6,23,11711.97698,6343.479453,06-23
6,24,11791.41902,6765.573142,06-24
6,25,10663.87219,5674.53185,06-25
6,26,11049.97956,6521.592631,06-26
6,27,9981.69454,4676.547783,06-27
6,28,10815.52246,4480.873032,06-28
6,29,11374.10294,5709.097158,06-29
6,30,12056.14064,6438.592255,06-30
7,1,8738.719834,5958.154824,07-01
7,2,9068.17685,4902.322052,07-02
7,3,7635.999951,2270.263915,07-03
7,4,7523.295782,2020.632839,07-04
7,5,7425.290156,2162.103273,07-05
7,6,7580.235289,2085.082492,07-06
7,7,7112.936224,1981.45596,07-07
7,8,7366.316367,2327.130384,07-08
7,9,8489.103444,3170.553993,07-09
7,10,7810.561471,2650.827504,07-10
7,11,6901.663799,1758.813018,07-11
7,12,7193.076207,1825.612209,07-12
7,13,7287.694426,2427.58599,07-13
7,14,7928.928067,3184.607289,07-14
7,15,7789.482465,3155.638725,07-15
7,16,7558.410891,2620.277729,07-16
7,17,7208.765226,2244.193746,07-17
7,18,7538.035457,1996.919594,07-18
7,19,7577.891592,2433.069475,07-19
7,20,8217.540017,5119.609699,07-20
7,21,7889.163185,3976.791527,07-21
7,22,7480.86749,2732.585797,07-22
7,23,8372.72413,4372.173273,07-23
7,24,7849.086037,3049.93071,07-24
7,25,7694.983083,3715.166198,07-25
7,26,7733.190203,2935.097493,07-26
7,27,7541.583449,2574.499707,07-27
7,28,7169.898639,2731.251092,07-28
7,29,8101.919657,3099.067441,07-29
7,30,8470.185221,4694.756874,07-30
7,31,7809.3216,3375.836226,07-31
8,1,5637.493584,329.7786366,08-01
8,2,5693.824976,323.0155482,08-02
8,3,5579.996462,242.3240169,08-03
8,4,5543.872629,303.1400175,08-04
8,5,5525.977724,311.3124434,08-05
8,6,5524.821397,270.9264872,08-06
8,7,5561.604774,253.6008648,08-07
8,8,5618.59571,262.432061,08-08
8,9,5581.162192,243.0498251,08-09
8,10,5617.936166,213.7756325,08-10
8,11,5546.185283,340.2870723,08-11
8,12,5543.213086,263.0718711,08-12
8,13,5638.649911,363.3166218,08-13
8,14,5506.429709,277.3021004,08-14
8,15,5579.996462,242.3240169,08-15
8,16,5598.388151,228.9746734,08-16
8,17,5636.987398,289.0672526,08-17
8,18,5579.996462,242.3240169,08-18
8,19,5618.59571,302.1895801,08-19
8,20,5732.424223,389.5069495,08-20
8,21,5656.544816,316.8004283,08-21
8,22,5675.423884,299.5870597,08-22
8,23,5655.885272,316.6654146,08-23
8,24,5694.48452,356.1190989,08-24
8,25,5673.809779,342.7626406,08-25
8,26,5734.408626,363.6310334,08-26
8,27,5832.59763,524.6221243,08-27
8,28,5711.809551,266.4027509,08-28
8,29,5713.575742,343.4093744,08-29
8,30,5751.013912,265.6785844,08-30
8,31,5673.12825,306.9202796,08-31
