region,year,extent
NorthernBering,1985,131887.3392440199
NorthernBering,1986,131844.26088421184
NorthernBering,1987,141853.86854075568
NorthernBering,1988,151039.2841694758
NorthernBering,1989,123119.56007996324
NorthernBering,1990,137428.28991196287
NorthernBering,1991,139106.37693094165
NorthernBering,1992,144152.86185826053
NorthernBering,1993,134313.44645961787
NorthernBering,1994,134006.74853796294
NorthernBering,1995,142644.2568487235
NorthernBering,1996,112701.73972692687
NorthernBering,1997,124841.79190398591
NorthernBering,1998,134034.30742581037
NorthernBering,1999,143410.0215856235
NorthernBering,2000,149341.42848254144
NorthernBering,2001,97896.58422050092
NorthernBering,2002,137294.4771492161
NorthernBering,2003,99399.97645724959
NorthernBering,2004,108793.71473652779
NorthernBering,2005,117467.31685960348
NorthernBering,2006,153302.96674539795
NorthernBering,2007,128454.21726188039
NorthernBering,2008,132378.997499047
NorthernBering,2009,144630.87993170138
NorthernBering,2010,146090.9482681267
NorthernBering,2011,118061.50451325104
NorthernBering,2012,153479.62263919477
NorthernBering,2013,186499.03670767762
NorthernBering,2014,105121.72694707394
NorthernBering,2015,101182.01566230936
NorthernBering,2016,99929.6719946029
NorthernBering,2017,90842.0366087485
NorthernBering,2018,51743.703313306156
NorthernBering,2019,58888.6222099936
NorthernBering,2020,105179.41241818984
NorthernBering,2021,110516.61619118627
NorthernBering,2022,119350.00228794907
NorthernBering,2023,121119.3385936693
NorthernBering,2024,141596.7906073329
EasternBering,1985,191375.5814268893
EasternBering,1986,204285.92134700908
EasternBering,1987,187312.54730393397
EasternBering,1988,257863.45868359914
EasternBering,1989,173427.37555801633
EasternBering,1990,202596.40478100433
EasternBering,1991,224329.0740061292
EasternBering,1992,232226.87644242262
EasternBering,1993,190556.51639445033
EasternBering,1994,206960.19526748176
EasternBering,1995,233508.74348580738
EasternBering,1996,154040.89392453452
EasternBering,1997,203530.2322192014
EasternBering,1998,206464.01538777613
EasternBering,1999,230117.54894005723
EasternBering,2000,220414.60650568688
EasternBering,2001,113294.65274600685
EasternBering,2002,202537.81973905946
EasternBering,2003,128141.39599469969
EasternBering,2004,155279.26816666138
EasternBering,2005,144361.760929107
EasternBering,2006,225289.5453595596
EasternBering,2007,200270.09409115268
EasternBering,2008,232682.94068806505
EasternBering,2009,237186.0764571875
EasternBering,2010,245350.86292013666
EasternBering,2011,184582.57650156543
EasternBering,2012,283704.22045838874
EasternBering,2013,308450.5728743638
EasternBering,2014,134363.93965429472
EasternBering,2015,136627.1044508248
EasternBering,2016,116856.99662090122
EasternBering,2017,138915.6977407144
EasternBering,2018,62982.552506622334
EasternBering,2019,70730.8842065569
EasternBering,2020,151670.27142485985
EasternBering,2021,138527.06760479102
EasternBering,2022,182060.82003216338
EasternBering,2023,162891.7447102007
EasternBering,2024,195334.5021498622
