region,year,extent
NorthernBering,1985,144532.51988830135
NorthernBering,1986,139531.28940151574
NorthernBering,1987,150025.48403210935
NorthernBering,1988,158897.66910042547
NorthernBering,1989,141458.83283130822
NorthernBering,1990,148620.7765018438
NorthernBering,1991,146075.30501997782
NorthernBering,1992,156980.93839564428
NorthernBering,1993,145955.67272314074
NorthernBering,1994,143804.61194434026
NorthernBering,1995,158495.57953146964
NorthernBering,1996,123685.46177812775
NorthernBering,1997,136977.28336599193
NorthernBering,1998,148614.62962207515
NorthernBering,1999,152067.384932133
NorthernBering,2000,162874.31694308747
NorthernBering,2001,110575.79851870392
NorthernBering,2002,147801.45978473304
NorthernBering,2003,107609.15106974007
NorthernBering,2004,117644.19404116094
NorthernBering,2005,129293.4140259518
NorthernBering,2006,166171.64815315782
NorthernBering,2007,140870.28871454293
NorthernBering,2008,145843.35793428734
NorthernBering,2009,154518.29129581977
NorthernBering,2010,157595.40262404317
NorthernBering,2011,131845.5115365539
NorthernBering,2012,160049.23342386924
NorthernBering,2013,157389.56014479304
NorthernBering,2014,122470.7706675768
NorthernBering,2015,119657.99765168542
NorthernBering,2016,111135.00973744423
NorthernBering,2017,102685.02966128431
NorthernBering,2018,64864.465552813694
NorthernBering,2019,75400.28006362978
NorthernBering,2020,115591.7151715292
NorthernBering,2021,122546.05038844272
NorthernBering,2022,133680.02168911006
NorthernBering,2023,136106.90488358837
NorthernBering,2024,156552.88099791875
