region,year,extent
AlaskanArctic,1995,418636.24469699414
AlaskanArctic,1996,422221.1631834779
AlaskanArctic,1997,359063.0734280242
AlaskanArctic,1998,378029.9714809109
AlaskanArctic,1999,428414.08015346184
AlaskanArctic,2000,432538.13788157277
AlaskanArctic,2001,430866.4504057104
AlaskanArctic,2002,375091.72276049573
AlaskanArctic,2003,373158.0189924153
AlaskanArctic,2004,383657.1855690855
AlaskanArctic,2005,418394.42068484426
AlaskanArctic,2006,372698.6990196981
AlaskanArctic,2007,351146.67401280924
AlaskanArctic,2008,371159.7910086105
AlaskanArctic,2009,373520.7951680651
