region,year,extent
EasternBering,2010,184582.57650156543
EasternBering,2011,283704.22045838874
EasternBering,2012,308450.5728743638
EasternBering,2013,134363.93965429472
EasternBering,2014,136627.1044508248
EasternBering,2015,116856.99662090122
EasternBering,2016,138915.6977407144
EasternBering,2017,62982.552506622334
EasternBering,2018,70730.8842065569
EasternBering,2019,151670.27142485985
EasternBering,2020,138527.06760479102
EasternBering,2021,182060.82003216338
EasternBering,2022,162891.7447102007
EasternBering,2023,195334.5021498622
