region,year,extent
AlaskanArctic,1995,418636.24469699414
AlaskanArctic,1996,422221.1631834779
AlaskanArctic,1997,359063.0734280242
AlaskanArctic,1998,378029.9714809109
AlaskanArctic,1999,428414.08015346184
AlaskanArctic,2000,432538.13788157277
AlaskanArctic,2001,430866.4504057104
AlaskanArctic,2002,375091.72276049573
AlaskanArctic,2003,373158.0189924153
AlaskanArctic,2004,383657.1855690855
AlaskanArctic,2005,418394.42068484426
AlaskanArctic,2006,372698.6990196981
AlaskanArctic,2007,351146.67401280924
AlaskanArctic,2008,371159.7910086105
AlaskanArctic,2009,373520.7951680651
NorthernBering,1995,112701.73972692687
NorthernBering,1996,124841.79190398591
NorthernBering,1997,134034.30742581037
NorthernBering,1998,143410.0215856235
NorthernBering,1999,149341.42848254144
NorthernBering,2000,97896.58422050092
NorthernBering,2001,137294.4771492161
NorthernBering,2002,99399.97645724959
NorthernBering,2003,108793.71473652779
NorthernBering,2004,117467.31685960348
NorthernBering,2005,153302.96674539795
NorthernBering,2006,128454.21726188039
NorthernBering,2007,132378.997499047
NorthernBering,2008,144630.87993170138
NorthernBering,2009,146090.9482681267
EasternBering,1995,154040.89392453452
EasternBering,1996,203530.2322192014
EasternBering,1997,206464.01538777613
EasternBering,1998,230117.54894005723
EasternBering,1999,220414.60650568688
EasternBering,2000,113294.65274600685
EasternBering,2001,202537.81973905946
EasternBering,2002,128141.39599469969
EasternBering,2003,155279.26816666138
EasternBering,2004,144361.760929107
EasternBering,2005,225289.5453595596
EasternBering,2006,200270.09409115268
EasternBering,2007,232682.94068806505
EasternBering,2008,237186.0764571875
EasternBering,2009,245350.86292013666
