region,year,extent
NorthernBering,2010,118061.50451325104
NorthernBering,2011,153479.62263919477
NorthernBering,2012,186499.03670767762
NorthernBering,2013,105121.72694707394
NorthernBering,2014,101182.01566230936
NorthernBering,2015,99929.6719946029
NorthernBering,2016,90842.0366087485
NorthernBering,2017,51743.703313306156
NorthernBering,2018,58888.6222099936
NorthernBering,2019,105179.41241818984
NorthernBering,2020,110516.61619118627
NorthernBering,2021,119350.00228794907
NorthernBering,2022,121119.3385936693
NorthernBering,2023,141596.7906073329
