region,year,extent
EasternBering,1985,211953.19595846275
EasternBering,1986,217244.00002003394
EasternBering,1987,193802.82253710425
EasternBering,1988,297717.77333286323
EasternBering,1989,202914.40040234348
EasternBering,1990,219922.84987808453
EasternBering,1991,240093.30066813712
EasternBering,1992,255794.00745513977
EasternBering,1993,216720.93322028997
EasternBering,1994,224933.37784144786
EasternBering,1995,267303.3994523407
EasternBering,1996,171357.4452190841
EasternBering,1997,227257.6852727062
EasternBering,1998,233510.18956683515
EasternBering,1999,245545.2128183807
EasternBering,2000,250654.89358995968
EasternBering,2001,127484.7487488964
EasternBering,2002,225413.39231443297
EasternBering,2003,142128.8477926556
EasternBering,2004,177376.09834072986
EasternBering,2005,161088.0752423237
EasternBering,2006,255052.66356124298
EasternBering,2007,226197.8217524056
EasternBering,2008,262972.47137397504
EasternBering,2009,265699.4155609921
EasternBering,2010,274426.7829156246
EasternBering,2011,210249.40873547865
EasternBering,2012,302338.5981200158
EasternBering,2013,269460.8429112219
EasternBering,2014,161043.46322817408
EasternBering,2015,165178.2332298697
EasternBering,2016,130656.13587563364
EasternBering,2017,161275.0367810521
EasternBering,2018,79028.49329626233
EasternBering,2019,88607.97491872859
EasternBering,2020,169160.36021412228
EasternBering,2021,154015.707057005
EasternBering,2022,215862.06947623182
EasternBering,2023,187165.96410112098
EasternBering,2024,222933.3830752627
