region,year,extent
SoutheasternBering,1985,65298.04541989835
SoutheasternBering,1986,75397.15546160105
SoutheasternBering,1987,41896.016241928104
SoutheasternBering,1988,135057.3016540636
SoutheasternBering,1989,60153.16593083661
SoutheasternBering,1990,68455.88119084745
SoutheasternBering,1991,90978.79995378485
SoutheasternBering,1992,96015.11150417208
SoutheasternBering,1993,68401.4407120232
SoutheasternBering,1994,78427.3331849186
SoutheasternBering,1995,105334.4944963369
SoutheasternBering,1996,46321.29964884185
SoutheasternBering,1997,87723.71909481053
SoutheasternBering,1998,81856.35766958291
SoutheasternBering,1999,90535.10064505454
SoutheasternBering,2000,84693.177794302
SoutheasternBering,2001,16716.04255990005
SoutheasternBering,2002,75344.62514306633
SoutheasternBering,2003,32783.01097175101
SoutheasternBering,2004,57754.07478601046
SoutheasternBering,2005,30202.766339929334
SoutheasternBering,2006,85359.40342072869
SoutheasternBering,2007,82336.63632126141
SoutheasternBering,2008,113993.4141373314
SoutheasternBering,2009,108093.68151783223
SoutheasternBering,2010,113647.45297450568
SoutheasternBering,2011,76136.54294452364
SoutheasternBering,2012,138912.46896271242
SoutheasternBering,2013,108983.88830244377
SoutheasternBering,2014,36691.304439766354
SoutheasternBering,2015,43397.64733875974
SoutheasternBering,2016,18170.42477681344
SoutheasternBering,2017,57335.81081966268
SoutheasternBering,2018,14115.79972872924
SoutheasternBering,2019,13111.243214245187
SoutheasternBering,2020,52362.687727660894
SoutheasternBering,2021,30601.390637157325
SoutheasternBering,2022,79721.72587385697
SoutheasternBering,2023,48888.25541072805
SoutheasternBering,2024,64726.611242288825
