time,seaice_extent
1991-01-01,88768.47027355888
1991-01-02,86519.82458693713
1991-01-03,80815.39615281369
1991-01-04,64257.62894763908
1991-01-05,60815.110204221484
1991-01-06,63670.22231768377
1991-01-07,64241.86601846315
1991-01-08,77340.69989924054
1991-01-09,80767.65100997816
1991-01-10,96211.66338982439
1991-01-11,109881.08553289043
1991-01-12,114467.47775639643
1991-01-13,126483.40159212012
1991-01-14,143549.77805785515
1991-01-15,158359.16338282233
1991-01-16,177138.26695396626
1991-01-17,186772.21239598526
1991-01-18,174395.03340147814
1991-01-19,169964.7704764317
1991-01-20,171736.05394411564
1991-01-21,171783.62389321055
1991-01-22,159307.14801893066
1991-01-23,142231.3210872154
1991-01-24,123901.94311516514
1991-01-25,62036.315868311496
1991-01-26,43653.496675335155
1991-01-27,41863.23262452566
1991-01-28,37894.52661985575
1991-01-29,87171.52176470714
1991-01-30,155965.2762829958
1991-01-31,169235.94667674013
1991-02-01,195901.51668314467
1991-02-02,220896.35027489255
1991-02-03,239089.27102749672
1991-02-04,254426.2704672732
1991-02-05,281523.95777407417
1991-02-06,281955.5506900819
1991-02-07,268894.82104051264
1991-02-08,280497.63978090615
1991-02-09,279702.1966303003
1991-02-10,278756.51895242074
1991-02-11,282217.0930912772
1991-02-12,271587.9920773416
1991-02-13,273771.62251507706
1991-02-14,289104.7297767938
1991-02-15,306561.98155783454
1991-02-16,317274.027085663
1991-02-17,317823.93966756266
1991-02-18,331389.671739926
1991-02-19,349958.5879532154
1991-02-20,357762.8099909784
1991-02-21,362729.9755034196
1991-02-22,377943.4638202535
1991-02-23,384180.0100096476
1991-02-24,363399.3446621543
1991-02-25,371735.5572988987
1991-02-26,359331.2956414401
1991-02-27,317083.67772995494
1991-02-28,269194.6026360615
1991-03-01,256155.90095596985
1991-03-02,272510.3635920129
1991-03-03,244754.77152221318
1991-03-04,232294.10295801965
1991-03-05,229434.8533362783
1991-03-06,240712.38410357002
1991-03-07,208013.76742854097
1991-03-08,216543.27478291295
1991-03-09,222760.73781281913
1991-03-10,214841.31941244396
1991-03-11,208002.35641558107
1991-03-12,177936.4542411198
1991-03-13,176180.14111783623
1991-03-14,186279.2590370108
1991-03-15,226693.2865935216
1991-03-16,211560.01105245634
1991-03-17,216764.61394070784
1991-03-18,269908.4841601696
1991-03-19,294268.8879589919
1991-03-20,264217.05311036634
1991-03-21,260326.9566546222
1991-03-22,237119.25066965306
1991-03-23,201881.05914543022
1991-03-24,185382.9505583584
1991-03-25,169562.42105613963
1991-03-26,198091.19382175955
1991-03-27,205692.85554540652
1991-03-28,206762.71908853023
1991-03-29,247002.06212189473
1991-03-30,262813.1831717979
1991-03-31,247562.34178175652
1991-04-01,223785.56049227293
1991-04-02,205057.97482519964
1991-04-03,213048.64959199115
1991-04-04,219298.24741795627
1991-04-05,234038.5153887621
1991-04-06,248196.1031068769
1991-04-07,250472.04311669027
1991-04-08,256144.55658422175
1991-04-09,272569.91465996514
1991-04-10,254870.98794562215
1991-04-11,245740.08909757884
1991-04-12,224713.47403979435
1991-04-13,204371.02793954714
1991-04-14,206749.50269045006
1991-04-15,200459.36447160185
1991-04-16,202187.1131780039
1991-04-17,191353.5129905832
1991-04-18,177161.0846522968
1991-04-19,165201.82181761868
1991-04-20,151501.96760054264
1991-04-21,148650.11212594237
1991-04-22,156030.98182729946
1991-04-23,159444.40475533355
1991-04-24,158851.15052413353
1991-04-25,156511.52735143184
1991-04-26,166752.4521687604
1991-04-27,172903.4217950174
1991-04-28,169496.0228387693
1991-04-29,165417.04667167956
1991-04-30,150600.07575111144
1991-05-01,137443.66644595948
1991-05-02,117994.89712279449
1991-05-03,104819.4912508536
1991-05-04,89471.34152285574
1991-05-05,70606.70850360158
1991-05-06,64323.35415799008
1991-05-07,58600.03380758889
1991-05-08,54027.69133457891
1991-05-09,57437.82220831114
1991-05-10,47702.52945202461
1991-05-11,51617.60747626949
1991-05-12,50591.5659995859
1991-05-13,51168.824627228976
1991-05-14,49412.57440700173
1991-05-15,44840.12760617456
1991-05-16,41961.04116939919
1991-05-17,40818.94056980274
1991-05-18,37946.38877350819
1991-05-19,29893.163518298832
1991-05-20,23000.874992627327
1991-05-21,13197.554686143667
1991-05-22,5116.050691239855
1991-05-23,3966.6732650179456
1991-05-24,4544.725378274536
1991-05-25,6185.441293724049
1991-05-26,5678.324547840564
1991-05-27,6259.538598918995
1991-05-28,5107.536498116162
1991-05-29,7393.071791665145
1991-05-30,6827.026890529914
1991-05-31,7393.5215918475515
1991-06-01,4522.214478413684
1991-06-02,10756.905232371937
1991-06-03,9071.041507296095
1991-06-04,4534.598661571135
1991-06-05,3966.6732650179456
1991-06-06,3966.6732650179456
1991-06-07,4544.725378274536
1991-06-08,5078.3673275346955
1991-06-09,6204.094888519376
1991-06-10,7894.435924263567
1991-06-11,10176.062366710843
1991-06-12,4542.262239824453
1991-06-13,5078.3673275346955
1991-06-14,4536.3351748064915
1991-06-15,4536.815603792352
1991-06-16,5117.572834951111
1991-06-17,8526.877843990313
1991-06-18,5689.732087630763
1991-06-19,5688.361824353935
1991-06-20,5120.6251603384935
1991-06-21,4544.725378274536
1991-06-22,4544.725378274536
1991-06-23,5107.894794211566
1991-06-24,4537.75245543716
1991-06-25,4537.75245543716
1991-06-26,3966.6732650179456
1991-06-27,3966.6732650179456
1991-06-28,4544.751666147871
1991-06-29,4544.751666147871
1991-06-30,3966.6732650179456
1991-07-01,3966.6732650179456
1991-07-02,3966.6732650179456
1991-07-03,3966.6732650179456
1991-07-04,3966.6732650179456
1991-07-05,3966.6732650179456
1991-07-06,3966.6732650179456
1991-07-07,3966.6732650179456
1991-07-08,3966.6732650179456
1991-07-09,3966.6732650179456
1991-07-10,3966.6732650179456
1991-07-11,3966.6732650179456
1991-07-12,3966.6732650179456
1991-07-13,3966.6732650179456
1991-07-14,3966.6732650179456
1991-07-15,3966.6732650179456
1991-07-16,3966.6732650179456
1991-07-17,3966.6732650179456
1991-07-18,3966.6732650179456
1991-07-19,3966.6732650179456
1991-07-20,3966.6732650179456
1991-07-21,3966.6732650179456
1991-07-22,3966.6732650179456
1991-07-23,3966.6732650179456
1991-07-24,3966.6732650179456
1991-07-25,3966.6732650179456
1991-07-26,3966.6732650179456
1991-07-27,3966.6732650179456
1991-07-28,3966.6732650179456
1991-07-29,3966.6732650179456
1991-07-30,3966.6732650179456
1991-07-31,3966.6732650179456
